,Date,Open,Close
0,1996-01-01,43.11,42.62
1,1996-01-02,42.62,42.25
2,1996-01-03,42.25,42.27
3,1996-01-04,42.27,40.75
4,1996-01-05,40.75,39.79
5,1996-01-08,39.79,39.27
6,1996-01-09,39.27,38.18
7,1996-01-10,38.18,38.78
8,1996-01-11,38.78,39.65
9,1996-01-12,39.65,39.75
10,1996-01-15,39.75,39.75
11,1996-01-16,39.75,39.22
12,1996-01-17,39.36,39.37
13,1996-01-18,38.79,39.09
14,1996-01-19,39.09,39.19
15,1996-01-22,39.19,39.05
16,1996-01-23,39.05,39.69
17,1996-01-24,39.69,40.01
18,1996-01-25,40.01,40.51
19,1996-01-29,40.51,40.56
20,1996-01-30,40.56,40.63
21,1996-01-31,40.63,41.11
22,1996-02-01,41.11,40.94
23,1996-02-02,40.94,42.81
24,1996-02-05,42.81,43.95
25,1996-02-06,43.95,43.48
26,1996-02-07,43.48,43.98
27,1996-02-08,44.14,45.48
28,1996-02-09,46.63,47.18
29,1996-02-12,47.18,49.55
30,1996-02-13,49.55,50.7
31,1996-02-14,51.98,50.54
32,1996-02-15,50.54,51.05
33,1996-02-16,51.05,51.31
34,1996-02-19,51.31,50.74
35,1996-02-20,50.74,51.35
36,1996-02-22,51.35,50.87
37,1996-02-23,50.87,51.39
38,1996-02-26,51.39,51.46
39,1996-02-27,51.46,50.36
40,1996-02-28,50.36,49.5
41,1996-02-29,49.5,49.69
42,1996-03-01,49.69,49.6
43,1996-03-04,49.6,49.89
44,1996-03-06,49.89,50.72
45,1996-03-07,50.64,50.64
46,1996-03-08,50.64,48.73
47,1996-03-11,48.73,49.7
48,1996-03-12,49.7,50.05
49,1996-03-13,49.69,50.07
50,1996-03-14,50.07,49.67
51,1996-03-15,49.67,49.14
52,1996-03-18,50.36,49.87
53,1996-03-19,49.87,49.25
54,1996-03-21,49.25,49.82
55,1996-03-22,49.82,49.8
56,1996-03-25,49.8,49.9
57,1996-03-26,49.9,50.01
58,1996-03-27,50.01,49.69
59,1996-03-28,49.69,50.26
60,1996-03-29,50.26,49.71
61,1996-04-01,49.69,50.45
62,1996-04-02,50.45,49.98
63,1996-04-03,49.98,50.64
