,Date,Open,Close
0,1996-01-01,0.44,0.44
1,1996-01-02,0.44,0.43
2,1996-01-03,0.43,0.42
3,1996-01-04,0.41,0.42
4,1996-01-05,0.42,0.41
5,1996-01-08,0.41,0.4
6,1996-01-09,0.4,0.42
7,1996-01-10,0.41,0.4
8,1996-01-11,0.4,0.42
9,1996-01-12,0.42,0.42
10,1996-01-15,0.42,0.42
11,1996-01-16,0.42,0.43
12,1996-01-17,0.42,0.41
13,1996-01-18,0.41,0.41
14,1996-01-19,0.41,0.41
15,1996-01-22,0.42,0.43
16,1996-01-23,0.43,0.43
17,1996-01-24,0.42,0.42
18,1996-01-25,0.43,0.42
19,1996-01-29,0.43,0.44
20,1996-01-30,0.45,0.45
21,1996-01-31,0.44,0.44
22,1996-02-01,0.43,0.46
23,1996-02-02,0.47,0.49
24,1996-02-05,0.5,0.52
25,1996-02-06,0.53,0.52
26,1996-02-07,0.51,0.52
27,1996-02-08,0.52,0.53
28,1996-02-09,0.53,0.57
29,1996-02-12,0.56,0.53
30,1996-02-13,0.53,0.54
31,1996-02-14,0.56,0.55
32,1996-02-15,0.55,0.55
33,1996-02-16,0.55,0.54
34,1996-02-19,0.54,0.54
35,1996-02-20,0.54,0.52
36,1996-02-22,0.53,0.54
37,1996-02-23,0.54,0.55
38,1996-02-26,0.56,0.56
39,1996-02-27,0.56,0.56
40,1996-02-28,0.57,0.56
41,1996-02-29,0.56,0.53
42,1996-03-01,0.54,0.54
43,1996-03-04,0.54,0.53
44,1996-03-06,0.53,0.54
45,1996-03-07,0.54,0.54
46,1996-03-08,0.53,0.53
47,1996-03-11,0.52,0.52
48,1996-03-12,0.52,0.52
49,1996-03-13,0.52,0.53
50,1996-03-14,0.53,0.53
51,1996-03-15,0.53,0.52
52,1996-03-18,0.52,0.51
53,1996-03-19,0.51,0.49
54,1996-03-21,0.5,0.51
55,1996-03-22,0.5,0.5
56,1996-03-25,0.51,0.51
57,1996-03-26,0.51,0.5
58,1996-03-27,0.51,0.51
59,1996-03-28,0.51,0.52
60,1996-03-29,0.52,0.52
61,1996-04-01,0.51,0.54
62,1996-04-02,0.54,0.55
63,1996-04-03,0.56,0.56
64,1996-04-04,0.56,0.56
65,1996-04-08,0.58,0.59
66,1996-04-09,0.59,0.59
67,1996-04-10,0.59,0.58
68,1996-04-11,0.58,0.58
69,1996-04-12,0.58,0.6
