,Date,Open,Close
0,1996-01-01,2.51,2.47
1,1996-01-02,2.47,2.43
2,1996-01-03,1.46,1.55
3,1996-01-04,1.55,1.54
4,1996-01-05,1.54,1.55
5,1996-01-08,1.55,1.53
6,1996-01-09,1.53,1.48
7,1996-01-10,1.52,1.5
8,1996-01-11,1.5,1.5
9,1996-01-12,1.5,1.53
10,1996-01-15,1.53,1.53
11,1996-01-16,1.53,1.54
12,1996-01-17,1.54,1.53
13,1996-01-18,1.53,1.55
14,1996-01-19,1.53,1.53
15,1996-01-22,1.53,1.53
16,1996-01-23,1.53,1.57
17,1996-01-24,1.56,1.54
18,1996-01-25,1.54,1.59
19,1996-01-29,1.59,1.61
20,1996-01-30,1.61,1.7
21,1996-01-31,1.66,1.7
22,1996-02-01,1.7,1.78
23,1996-02-02,1.7,1.76
24,1996-02-05,1.76,1.83
25,1996-02-06,1.83,1.81
26,1996-02-07,1.81,1.84
27,1996-02-08,1.84,1.91
28,1996-02-09,1.93,1.91
29,1996-02-12,1.92,1.87
30,1996-02-13,1.85,1.96
31,1996-02-14,2.01,2.11
32,1996-02-15,2.11,2.12
33,1996-02-16,2.12,2.08
34,1996-02-19,2.08,2.12
35,1996-02-20,2.12,2.12
36,1996-02-22,2.12,2.13
37,1996-02-23,2.13,2.14
38,1996-02-26,2.14,2.21
39,1996-02-27,2.21,2.23
40,1996-02-28,2.23,2.17
41,1996-02-29,2.17,2.1
42,1996-03-01,2.1,2.12
43,1996-03-04,2.12,2.06
44,1996-03-06,2.06,2.08
45,1996-03-07,2.08,2.08
46,1996-03-08,2.08,2.07
47,1996-03-11,2.07,1.96
48,1996-03-12,1.96,1.93
49,1996-03-13,1.93,1.98
50,1996-03-14,1.98,2.0
51,1996-03-15,2.0,2.03
52,1996-03-18,1.98,1.97
53,1996-03-19,1.97,1.96
54,1996-03-21,1.96,1.99
55,1996-03-22,1.99,1.92
56,1996-03-25,1.92,1.97
57,1996-03-26,1.97,1.93
58,1996-03-27,1.93,1.91
59,1996-03-28,1.91,1.98
60,1996-03-29,1.98,1.94
61,1996-04-01,1.94,1.94
62,1996-04-02,1.94,2.06
63,1996-04-03,2.06,2.12
64,1996-04-04,2.12,2.07
65,1996-04-08,2.07,2.12
66,1996-04-09,2.12,2.17
67,1996-04-10,2.17,2.1
68,1996-04-11,2.1,2.08
69,1996-04-12,2.08,2.07
70,1996-04-15,2.07,2.09
71,1996-04-16,2.09,2.16
72,1996-04-17,2.16,2.17
73,1996-04-18,2.17,2.22
74,1996-04-19,2.22,2.19
75,1996-04-22,2.19,2.14
76,1996-04-23,2.14,2.07
77,1996-04-24,2.07,2.19
78,1996-04-25,2.19,2.14
79,1996-04-26,2.14,2.14
80,1996-04-29,2.14,2.18
81,1996-04-30,2.18,2.19
82,1996-05-01,2.19,2.2
